DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,QU_SEQNUM,NATBBO_IND,QU_CANCEL,QU_SOURCE,SYM_ROOT,SYM_SUFFIX
20190102,10:01:17.683802307,K,303.01,1,303.3,1,R,6452158,0,,N,TSLA,
20190102,10:01:17.683851584,Z,303.04,1,303.25,1,R,6452160,2,,N,TSLA,
20190102,10:01:17.683893423,K,303.01,1,303.25,1,R,6452161,0,,N,TSLA,
20190102,10:01:17.683974750,Z,303.01,1,303.25,1,R,6452163,0,,N,TSLA,
20190102,10:01:17.683983444,K,303.01,1,303.25,1,R,6452164,0,,N,TSLA,
20190102,10:01:17.684006520,Z,303.01,1,303.24,1,R,6452165,2,,N,TSLA,
20190102,10:01:17.684015342,K,303.01,1,303.24,1,R,6452166,0,,N,TSLA,
20190102,10:01:17.684055051,Z,303.01,1,303.22,1,R,6452167,2,,N,TSLA,
20190102,10:01:17.684149387,V,0.0,0,307.0,1,R,6452168,0,,N,TSLA,
20190102,10:01:17.686388916,Q,303.0,12,303.44,2,R,6452177,0,,N,TSLA,
20190102,10:01:17.686454677,Q,303.0,12,303.24,1,R,6452178,0,,N,TSLA,
20190102,10:01:17.688812226,Q,303.0,12,303.44,2,R,6452180,0,,N,TSLA,
20190102,10:01:17.688853807,Q,303.0,12,303.22,1,R,6452181,0,,N,TSLA,
20190102,10:01:17.700753613,P,303.0,5,303.25,2,R,6452191,0,,N,TSLA,
20190102,10:01:17.713655613,K,303.01,1,303.24,1,R,6452213,0,,N,TSLA,
20190102,10:01:17.713714735,Y,302.86,1,303.26,1,R,6452214,0,,N,TSLA,
20190102,10:01:17.713716359,K,303.01,1,303.25,1,R,6452215,0,,N,TSLA,
20190102,10:01:17.713739370,K,303.01,1,303.26,1,R,6452216,0,,N,TSLA,
20190102,10:01:17.818031976,K,303.01,1,303.27,1,R,6452630,0,,N,TSLA,
20190102,10:01:17.848951461,Y,302.86,1,309.0,1,R,6452683,0,,N,TSLA,
20190102,10:01:17.848953625,K,303.0,8,303.27,1,R,6452684,0,,N,TSLA,
20190102,10:01:17.848965857,Z,303.01,1,303.22,1,R,6452685,0,,N,TSLA,
20190102,10:01:17.848971142,K,303.0,7,303.27,1,R,6452686,0,,N,TSLA,
20190102,10:01:17.848995843,K,303.0,7,303.27,1,R,6452687,0,,N,TSLA,
20190102,10:01:17.849009735,Z,303.0,1,303.22,1,R,6452688,2,,N,TSLA,
20190102,10:01:17.849015442,Z,302.99,1,303.22,1,R,6452689,0,,N,TSLA,
20190102,10:01:17.849105488,K,303.0,7,303.26,1,R,6452690,0,,N,TSLA,
20190102,10:01:17.849126735,K,303.0,7,303.25,1,R,6452691,0,,N,TSLA,
20190102,10:01:17.849164026,K,303.0,7,303.24,1,R,6452692,0,,N,TSLA,
20190102,10:01:17.850983987,K,303.0,7,303.23,1,R,6452700,0,,N,TSLA,
20190102,10:01:17.870206212,Z,302.99,1,303.22,2,R,6452722,2,,N,TSLA,
20190102,10:01:17.870216091,K,303.0,7,303.22,1,R,6452723,0,,N,TSLA,
20190102,10:01:17.870312579,Y,302.86,1,303.22,1,R,6452724,0,,N,TSLA,
20190102,10:01:17.870335804,K,303.0,7,303.21,1,R,6452725,2,,N,TSLA,
20190102,10:01:17.870340268,Z,302.99,1,303.21,1,R,6452726,0,,N,TSLA,
20190102,10:01:17.878361000,Q,303.0,12,303.44,2,R,6452739,0,,N,TSLA,
20190102,10:01:17.878409748,Q,303.0,12,303.21,1,R,6452740,0,,N,TSLA,
20190102,10:01:17.878949308,Z,302.99,1,303.21,1,R,6452741,0,,N,TSLA,
20190102,10:01:17.878958487,K,303.0,7,303.21,1,R,6452742,0,,N,TSLA,
20190102,10:01:17.879138560,Y,302.86,1,309.0,1,R,6452743,0,,N,TSLA,
20190102,10:01:17.879222230,Z,302.99,1,303.22,2,R,6452744,0,,N,TSLA,
20190102,10:01:17.879228871,K,303.0,7,303.22,1,R,6452745,2,,N,TSLA,
20190102,10:01:17.879316370,Z,302.99,1,303.22,1,R,6452746,0,,N,TSLA,
20190102,10:01:17.879326869,K,303.0,7,303.23,1,R,6452747,0,,N,TSLA,
20190102,10:01:17.879413039,K,303.0,7,303.24,1,R,6452748,0,,N,TSLA,
20190102,10:01:17.879499110,K,303.0,7,303.25,1,R,6452749,0,,N,TSLA,
20190102,10:01:17.961029064,Y,293.03,1,309.0,1,R,6452835,0,,N,TSLA,
20190102,10:01:17.961033848,J,292.86,2,304.46,1,R,6452836,0,,N,TSLA,
20190102,10:01:17.971109545,Y,293.03,1,303.26,1,R,6452839,0,,N,TSLA,
20190102,10:01:18.007090059,Z,303.01,1,303.22,1,R,6452896,0,,N,TSLA,
20190102,10:01:18.190870246,Q,303.0,12,303.21,2,R,6453207,2,,N,TSLA,
20190102,10:01:18.191212268,Y,293.03,1,309.0,1,R,6453208,0,,N,TSLA,
20190102,10:01:18.191226319,Y,293.03,1,303.25,1,R,6453209,0,,N,TSLA,
20190102,10:01:18.461808788,Z,302.99,1,303.22,1,R,6453937,0,,N,TSLA,
20190102,10:01:18.461993769,Y,293.03,1,309.0,1,R,6453953,0,,N,TSLA,
20190102,10:01:18.462012818,Y,293.03,1,303.24,1,R,6453954,0,,N,TSLA,
20190102,10:01:18.505056780,Z,303.01,2,303.22,1,R,6454112,0,,N,TSLA,
20190102,10:01:18.505068268,K,303.01,2,303.25,1,R,6454113,0,,N,TSLA,
20190102,10:01:18.556076224,Z,303.01,2,303.22,1,R,6454284,0,,N,TSLA,
20190102,10:01:18.556094984,K,303.01,2,303.25,1,R,6454285,0,,N,TSLA,
20190102,10:01:18.556122383,Y,293.03,1,309.0,1,R,6454286,0,,N,TSLA,
20190102,10:01:18.556125928,K,303.0,7,303.25,1,R,6454287,0,,N,TSLA,
20190102,10:01:18.556204461,K,303.0,7,303.24,1,R,6454288,0,,N,TSLA,
20190102,10:01:18.556221236,K,303.0,7,303.23,1,R,6454289,0,,N,TSLA,
20190102,10:01:18.556259587,Z,303.01,2,303.21,1,R,6454290,0,,N,TSLA,
20190102,10:01:18.556270037,K,303.0,7,303.21,1,R,6454291,0,,N,TSLA,
20190102,10:01:18.556374113,K,303.0,7,303.2,1,R,6454292,2,,N,TSLA,
20190102,10:01:18.556380603,Z,303.01,2,303.2,1,R,6454293,0,,N,TSLA,
20190102,10:01:18.560079523,Q,303.0,12,303.21,1,R,6454298,0,,N,TSLA,
20190102,10:01:18.560120959,Q,303.0,12,303.2,1,R,6454299,0,,N,TSLA,
20190102,10:01:18.570504721,Y,293.03,1,303.23,1,R,6454378,0,,N,TSLA,
20190102,10:01:18.578330794,Z,303.01,1,303.2,1,R,6454424,0,,N,TSLA,
20190102,10:01:18.586060508,Z,303.01,1,303.2,1,R,6454434,0,,N,TSLA,
20190102,10:01:18.586075739,K,303.0,7,303.2,1,R,6454435,0,,N,TSLA,
20190102,10:01:18.586252818,K,303.0,7,303.21,1,R,6454436,2,,N,TSLA,
20190102,10:01:18.586253139,Z,303.01,1,303.21,1,R,6454437,2,,N,TSLA,
20190102,10:01:18.586328041,Z,303.01,1,303.22,1,R,6454438,0,,N,TSLA,
20190102,10:01:18.586367785,K,303.0,7,303.24,1,R,6454439,0,,N,TSLA,
20190102,10:01:18.586830602,Y,293.03,1,309.0,1,R,6454440,0,,N,TSLA,
20190102,10:01:18.841215279,Y,302.73,1,309.0,1,R,6455062,0,,N,TSLA,
20190102,10:01:18.841228881,J,302.66,1,304.46,1,R,6455063,0,,N,TSLA,
20190102,10:01:18.852370216,Z,303.0,1,303.22,1,R,6455073,0,,N,TSLA,
20190102,10:01:18.852379990,Z,302.99,1,303.22,1,R,6455074,0,,N,TSLA,
20190102,10:01:18.852401979,Y,302.73,1,303.27,1,R,6455075,0,,N,TSLA,
20190102,10:01:18.877638214,Q,303.0,12,303.21,1,R,6455122,2,,N,TSLA,
20190102,10:01:18.877958717,Z,303.0,1,303.22,1,R,6455124,0,,N,TSLA,
20190102,10:01:18.878007340,Z,303.01,3,303.22,1,R,6455125,0,,N,TSLA,
20190102,10:01:18.878029527,Z,303.01,3,303.22,1,R,6455126,0,,N,TSLA,
20190102,10:01:18.878032134,K,303.0,8,303.24,1,R,6455127,0,,N,TSLA,
20190102,10:01:18.878083750,Z,303.01,3,303.24,1,R,6455128,0,,N,TSLA,
20190102,10:01:18.878087492,K,303.01,2,303.24,1,R,6455129,0,,N,TSLA,
20190102,10:01:18.878206371,M,303.05,1,0.0,0,Y,6455130,2,,N,TSLA,
20190102,10:01:18.878245252,K,303.01,2,303.25,1,R,6455131,0,,N,TSLA,
20190102,10:01:18.878251518,Z,303.01,3,303.3,1,R,6455132,0,,N,TSLA,
20190102,10:01:18.878267431,Z,303.01,3,303.3,1,R,6455133,0,,N,TSLA,
20190102,10:01:18.878284394,K,303.01,2,303.26,1,R,6455134,0,,N,TSLA,
20190102,10:01:18.878349601,K,303.01,2,303.62,1,R,6455135,0,,N,TSLA,
20190102,10:01:18.878374022,Z,303.01,3,304.47,1,R,6455136,0,,N,TSLA,
20190102,10:01:18.878387362,Z,303.02,1,304.47,1,R,6455137,0,,N,TSLA,
20190102,10:01:18.878391653,K,303.02,1,303.62,1,R,6455138,0,,N,TSLA,
20190102,10:01:18.878417171,K,303.02,1,303.34,1,R,6455139,0,,N,TSLA,
20190102,10:01:18.878468182,K,303.02,1,303.62,1,R,6455140,0,,N,TSLA,
20190102,10:01:18.878507377,Y,302.73,1,309.0,1,R,6455142,0,,N,TSLA,
20190102,10:01:18.878527953,K,303.02,1,303.34,1,R,6455143,0,,N,TSLA,
20190102,10:01:18.878605975,K,303.02,1,303.69,1,R,6455144,0,,N,TSLA,
20190102,10:01:18.878616711,Z,303.02,1,303.31,1,R,6455145,0,,N,TSLA,
20190102,10:01:18.878620452,K,303.02,1,303.62,1,R,6455146,0,,N,TSLA,
20190102,10:01:18.878739277,K,303.02,1,303.55,1,R,6455147,0,,N,TSLA,
20190102,10:01:18.879014514,K,303.02,1,303.62,1,R,6455150,0,,N,TSLA,
